Number,name,latitude,longitude,,,"'254,253,104,111,211,171,191,178,213,157,187,109,144,158,83,170,247,47,139,121,212'"
,Hemet,33.664747,-116.955121,,,
,Perris - Menifee,33.76,-117.2,,,
,San Clemente,33.4625,-117.586111,,,
,Staten Island,38.192397,-121.510261,,,
,Ryde,38.249622,-121.555528,,,
,Biggs,39.386632,-121.835278,,,
,Coto de Caza,33.621667,-117.585278,,,
,Markleeville,38.773409,-119.79193,,,
247,Jersey Island,38.033386,-121.701247,,,
,Holt,37.932072,-121.396661,,,
,Ripon,37.755597,-121.266153,,,
,Williams,39.210667,-122.168889,,,
,Highland,34.112042,-117.1857,,,
,Soledad II,36.456728,-121.344388,,,
253,Pescadero,37.255333,-122.3708,,,
254,Oakland Metro,37.718167,-122.197111,,,
,Chino,33.98535,-117.656528,,,
,Lancaster,34.759475,-117.991997,,,
,Ridgecrest,35.659128,-117.636925,,,
,Lemon Cove,36.376917,-119.037972,,,
,Ferndale Plain,40.604467,-124.243186,,,
,Montague,41.798331,-122.463425,,,
,Gazelle,41.533989,-122.532279,,,
